	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	diff_expressed
LEPR	30.1886989848536	2.78730421394708	0.364473875199683	7.64747325832342	2.04966854089068e-14	7.5837736012955e-13	UP
NTRK2	32.7434949242681	-2.34409817515767	0.40305332739039	-5.81585119352511	6.0326114658672e-09	1.11603312118543e-07	DOWN
LEP	52.5146145522274	-1.36451276651366	0.263609968967889	-5.17625631479771	2.26382399488645e-07	2.79204959369329e-06	DOWN
MC4R	16.3711196279593	-1.95632235808977	0.450756202251338	-4.34008971661125	1.4242455530612e-05	0.000131742713658161	DOWN
PCSK1	49.7472619293169	0.972804531343619	0.231851036050278	4.19581705527795	2.71889648205189e-05	0.00020119833967184	UP
SH2B1	55.3522846027153	0.870055802947677	0.220426057398769	3.94715494717429	7.90853774835878e-05	0.000487693161148792	UP
BDNF	46.3296825724225	-0.804324745274188	0.256417069445633	-3.13678315961225	0.00170812406487571	0.00790007380005017	DOWN
CADM2	46.3296825724225	-0.804324745274188	0.256417069445633	-3.13678315961225	0.00170812406487571	0.00790007380005017	DOWN
POMC	59.9384722508697	0.491730625749132	0.206380768526478	2.38263782647967	0.0171890961136847	0.0706662840229262	NO
ROBO1	21.7698639596097	-0.678788726277378	0.303436230984594	-2.2370061876752	0.0252859356283065	0.0935579618247339	NO
NRP1	22.574886633008	0.460242195966862	0.271700787840298	1.69393029598937	0.090278529203313	0.303664143683871	NO
KIAA0586	19.7773979697072	0.442146886511968	0.290363182176254	1.52273743247372	0.127824408938474	0.394125260893627	NO
TMEM18	19.1849319798048	0.407425511051839	0.29506576251903	1.38079561509805	0.167341812124818	0.476280542201406	NO
KSR2	54.5271712357233	-0.248514506027318	0.224211982048375	-1.10839083512361	0.267693061247169	0.666093513643064	NO
PDE3B	39.1485175976665	-0.324604112134884	0.29429863495235	-1.10297525568694	0.270037910936377	0.666093513643064	NO
CREBRF	20.374886633008	-0.286471326217209	0.298917548284121	-0.958362357317738	0.337880069815127	0.694531254619984	NO
FTO	11.3962329949512	0.637353722265147	0.664996464480248	0.958431745593256	0.337845093745392	0.694531254619984	NO
PHIP	13.5861876481544	0.503015133605594	0.523813863137139	0.960293663464766	0.336907438268959	0.694531254619984	NO
PPARG	29.9585629444633	0.279274640359096	0.312265904179875	0.894348811768526	0.371135291184662	0.722737145991183	NO
UBR2	52.5296825724225	-0.163599782884426	0.22553453125576	-0.725386848628075	0.468214738919578	0.866197267001219	NO
ADCY3	31.9598186128129	0.00303030020526568	0.298798514011366	0.010141617388199	0.99190829877311	0.99190829877311	NO
AGRP	31.9598186128129	0.00303030020526568	0.298798514011366	0.010141617388199	0.99190829877311	0.99190829877311	NO
ANKRD27	31.9598186128129	0.00303030020526568	0.298798514011366	0.010141617388199	0.99190829877311	0.99190829877311	NO
ANO4	31.9598186128129	0.00303030020526568	0.298798514011366	0.010141617388199	0.99190829877311	0.99190829877311	NO
CADM1	31.9598186128129	0.00303030020526568	0.298798514011366	0.010141617388199	0.99190829877311	0.99190829877311	NO
CALCR	31.9598186128129	0.00303030020526568	0.298798514011366	0.010141617388199	0.99190829877311	0.99190829877311	NO
CNR1	54.7296825724225	0.0337128387532927	0.219265253600246	0.153753675968908	0.8778039606224	0.99190829877311	NO
DPP9	47.5359609141705	0.0232933415563043	0.238902674230101	0.0975013847432667	0.922328234605401	0.99190829877311	NO
GIPR	38.9460062609673	-0.121332887821719	0.277050114135135	-0.43794563377273	0.661425694299901	0.99190829877311	NO
GPR151	60.1234042306745	0.0349375156543668	0.207630366184037	0.168267851646514	0.86637256389006	0.99190829877311	NO
GPR75	43.1447505926177	-0.0922593420628789	0.257926631106582	-0.357696069099413	0.720570775143395	0.99190829877311	NO
KIAA1109	16.3836763114552	0.162691949592361	0.322105773056883	0.505088586424157	0.613496617476811	0.99190829877311	NO
MRAP2	39.9422392559185	0.0332343041978346	0.276926646481754	0.120011218205484	0.904474261346406	0.99190829877311	NO
NRP2	38.9547959394145	0.125310924780447	0.274859158903884	0.455909583949019	0.648454997445147	0.99190829877311	NO
SIM1	13.5761423013576	-0.19376415480607	0.60895432946392	-0.318191603919864	0.750339601171349	0.99190829877311	NO
SPARC	50.1334495774713	-0.0305291876274649	0.229968132789492	-0.132753991855953	0.894387941383031	0.99190829877311	NO
UHMK1	31.9598186128129	0.00303030020526568	0.298798514011366	0.010141617388199	0.99190829877311	0.99190829877311	NO
