	abraham	bart	homer	lisa	maggie
ADCY3	32	32	31.999	32	32
AGRP	32	32	32	32	32
ANKRD27	32	32	32	32	32
ANO4	32	32	32	32	32
BDNF	31.999	56	32	56	56
CADM1	32	32	32	32	32
CADM2	32	56	32	56	56
CALCR	32	32	32	32	32
CNR1	56.327	58.007	54.787	49.084	56.119
CREBRF	17.054	16.33	19.397	30.075	20.251
DPP9	49.611	48.703	45.823	41.52	50.569
FTO	13.649	12.716	15.11	11.779	3.385
GIPR	38.273	36.124	36.262	42.071	42.993
GPR151	59.439	59.564	62.84	58.385	60.631
GPR75	36.606	43.235	45.922	45.929	44
KIAA0586	23.629	21.578	23.005	11.568	17.742
KIAA1109	21.457	17.762	14.023	15.555	12.877
KSR2	49.964	52.168	47.942	64.667	57.87
LEP	18.223	68.971	36.131	71.794	68.408
LEPR	66.905	7.961	57.362	10.322	9.384
MC4R	6.883	30.883	5.44	15.831	23.161
MRAP2	45.987	38.453	35.347	34.562	46.487
NRP1	22.38	20.809	31.707	18.283	19.716
NRP2	44.897	38.221	37.409	39.238	35.986
NTRK2	6.554	46.099	11.916	53.837	45.181
PCSK1	67.713	34.535	73.414	31.13	42.454
PDE3B	43.311	48.048	25.101	38.712	40.778
PHIP	11.176	8.034	22.237	15.823	10.508
POMC	75.884	52.185	68.767	53.802	49.082
PPARG	28.723	28.359	38.337	22.121	32.913
ROBO1	16.247	21.583	16.266	31.394	23.774
SH2B1	78.059	51.468	74.389	36.329	38.103
SIM1	11.724	6.022	12.714	17.925	18.831
SPARC	51.706	49.143	47.44	49.597	52.666
TMEM18	23.107	17.81	22.147	20.517	11.89
UBR2	46.514	57.228	50.764	52.152	56.243
UHMK1	32	32	32	32	32
